Drug_Name,Reason,Description,mildness
Cefglobe S 1000/1000mg Injection 10mlCefglobe S 1000/500mg Injection 20mlCefglobe S 2000/1000mg Injection 1mlCefglobe S 500/500mg Injection 10ml,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefglobe S Forte 2000/1000mg Injection 1mlCefglobe S Forte 1000/500mg Injection 1'S,Infection,infection during surgery,moderate
Cefi 100mg Dry Syrup 30mlCefi 200mg Tablet 10'SCefi Infusion 100mlCefi O 200mg Tablet 10'SCefi 100mg Tablet 100'SCefi DT 100mg Tablet 10'SCefi Dry Syrup 30mlCefi T 1.125gm InjectionCefi 1000mg Injection 2ml,Infection,urinaryÂ tract and kidneys,moderate
Cefi CV 200/125mg Tablet 6'SCefi CV 100/62.5mg Tablet 10'SCefi CV 50/31.25mg Dry Syrup 30ml,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefi DT 50mg Tablet 10'S,Infection,used to treat meningitis carriers,moderate
Cefi O 100mg Tablet 10'S,Infection,treats chest pain,moderate
Cefi OD 200mg Tablet 10'S,Infection,treats tonsilities,moderate
Cefi T 1000/125mg Injection 1'SCefi T 500/62.5mg Injection 1'S,Infection,used for skin and skin structure,moderate
Cefi XL 100mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefi XL D 200mg Tablet 10'S,Infection,infection during surgery,moderate
Cefi XL D RF 100/500mg Tablet 10'SCefi XL D RF 200mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefialfa 250mg Tablet 10'SCefialfa 500mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
CEFICAD 1000mg Injection 1'sCeficad O 200mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Ceficad O 100mg Tablet 10'SCEFICAD O Dry Syrup 30mlCeficad O 50mg Dry Syrup 30ml,Infection,infection during surgery,moderate
CEFICAD XL 100/62.5mg Tablet 6'sCeficad XL 50/125mg Tablet 10'SCeficad XL 200/125mg Tablet 6'S,Infection,urinaryÂ tract and kidneys,moderate
Ceficlav 100mg Tablet 6'SCeficlav 200mg Tablet 6'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefight CV 325mg Tablet 10'SCefight 200/125mg Tablet 10'S,Infection,used to treat meningitis carriers,moderate
Cefiglen 100mg Tablet 10'SCefiglen 200mg Tablet 10'SCefiglen 50mg Dry Syrup 30ml,Infection,treats chest pain,moderate
Cefiglen DT 50mg Tablet 10'S,Infection,treats tonsilities,moderate
Cefiglen O 200/200mg Tablet 1'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefikaa 200mg Tablet 10'SCefikaa 100mg Tablet 10'S,Infection,infection during surgery,moderate
Cefilab 200mg Tablet 10'SCefilab O Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefilab CV Tablet 10'SCefilab CV Tablet 6'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefilab DT 200mg Tablet 4'SCefilab DT 100mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefilab XT 200mg Tablet 10'S,Infection,infection during surgery,moderate
Cefilac 200Mg Tablet 10'sCefilac 100Mg Tablet 10'sCefilac Dry Syrup 30ml,Infection,urinaryÂ tract and kidneys,moderate
Cefimine 200mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefinar 200mg Tablet 6'SCefinar 100mg Tablet 10'S,Infection,used to treat meningitis carriers,moderate
Cefinar DT 100mg Tablet 10'SCefinar DT 200mg Tablet 2'SCefinar DT 200mg Tablet 10'S,Infection,treats chest pain,moderate
Cefinta Dry Syrup 30ml,Infection,treats tonsilities,moderate
Cefinta O 200mg Tablet 10'S,Infection,used for skin and skin structure,moderate
Cefiped 100/60mg Tablet 4'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefipower Tablet 10'S,Infection,infection during surgery,moderate
Cefipower DS 400/400mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefiquick 100mg Tablet 10'SCefiquick 200mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefiquik O 100/100mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefirone T 1.125gm Injection 1'S,Infection,infection during surgery,moderate
Cefitaxe 50mg Syrup 30mlCefitaxe 200mg Tablet 10'SCefitaxe 100mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefitaxe CV Dry Syrup 30ml,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefitaxe O 200/200mg Tablet 10'S,Infection,used to treat meningitis carriers,moderate
Cefitil 100mg Tablet 10'S,Infection,treats chest pain,moderate
Cefivan 200mg Tablet 10'S,Infection,treats tonsilities,moderate
CEFIVIS DT 100mg Tablet 10'sCEFIVIS DT 200mg Tablet 10's,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefiwal 200mg Tablet 10'S,Infection,infection during surgery,moderate
Cefiwok DT 200mg Tablet 10'SCefiwok 50mg Redimix 30ml,Infection,urinaryÂ tract and kidneys,moderate
Cefiwok CV Tablet 6'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefiwok DT 100mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefiwok O Tablet 10'S,Infection,infection during surgery,moderate
Cefiwok XL 200mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefix 200mg Tablet 10'SCefix 200mg Tablet 4'SCefix 50mg Syrup 30mlCefix 100mg Dry Syrup 30mlCefix 400mg Tablet 4'SCefix 100mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefix LB 50mg Tablet 10'SCefix LB 200mg Capsule 4'S,Infection,used to treat meningitis carriers,moderate
Cefix O Tablet 10'S,Infection,treats chest pain,moderate
Cefixinat 200mg Tablet 4'S,Infection,treats tonsilities,moderate
Cefizox 1000mg Injection 10mlCefizox 500mg Injection 1'SCefizox 250mg Injection 10ml,Infection,used for skin and skin structure,moderate
Cefjoy 250/125mg Injection 1mlCefjoy 200mg Tablet 10'SCefjoy 1000/500mg Injection 1'SCefjoy 200mg Tablet 6'SCefjoy 100mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefjoy CV 200/125mg Tablet 6'S,Infection,infection during surgery,moderate
Cefjoy DS 50mg Dry Syrup 30ml,Infection,urinaryÂ tract and kidneys,moderate
Cefjoy DT 50mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefkem 125mg Tablet 10'SCEFKEM Injection 1'sCefkem 500mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefking 750mg Injection 1'SCefking 250mg Tablet 4'SCEFKING 500mg Tablet 10'sCefking 500mg Tablet 4'S,Infection,infection during surgery,moderate
Ceflin 500mg Injection 2mlCeflin 1000mg Injection 2mlCeflin 250mg Injection 2ml,Infection,urinaryÂ tract and kidneys,moderate
Ceflin S 250/125mg Injection 5mlCeflin S 1000/500mg Injection 10ml,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefmentin 100mg Tablet 6'SCefmentin 200mg Tablet 10'S,Infection,used to treat meningitis carriers,moderate
Cefmix 500mg Capsule 10'SCefmix 125mg Syrup 30ml,Infection,treats chest pain,moderate
Cefmix DT 250mg Tablet 10'S,Infection,treats tonsilities,moderate
Cefmost 200mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefmost DT 100mg Tablet 10'S,Infection,infection during surgery,moderate
Cefmost Instause Syrup 30ml,Infection,urinaryÂ tract and kidneys,moderate
Cefnova 200Mg Tablet 10's,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefo 100mg Tablet 10'SCefo 250mg Tablet 4'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefo DT 250mg Tablet 10'S,Infection,infection during surgery,moderate
Cefo L 100mg Tablet 10'SCefo L 200mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefo L DT 50mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefo L Rediuse Syrup 30ml,Infection,used to treat meningitis carriers,moderate
Cefo Paed 50mg Syrup 30ml,Infection,treats chest pain,moderate
Cefo Plus 200mg Tablet 10'SCefo Plus 100mg Tablet 10'SCefo Plus 50mg Suspension 30ml,Infection,treats tonsilities,moderate
Cefocef 200mg Tablet 10'SCefocef 1000mg Injection 15ml,Infection,used for skin and skin structure,moderate
Cefocef O 200mg Tablet 10'SCefocef O 100mg Tablet 10'SCefocef O 50mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefocef Plus Tablet 10'S,Infection,infection during surgery,moderate
Cefocef XL Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefoclav 200/125mg Tablet 10'SCefoclav 100/62.5mg Tablet 6'SCefoclav 200mg Tablet 10'SCefoclav 200/125mg Tablet 6'SCefoclav 50/31.25mg Dry Syrup 30ml,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefoclav DT 100/62.5mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefoclox 200mg Tablet 10'SCefoclox DT 100mg Tablet 10'SCefoclox XL Tablet 10'S,Infection,infection during surgery,moderate
Cefoder 100mg Syrup 30mlCefoder 100mg DT Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefodime 50mg Dry Syrup 30mlCefodime 200mg Tablet 10'SCefodime 50mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefogen 250mg Injection 10mlCEFOGEN 750mg Injection 1's,Infection,used to treat meningitis carriers,moderate
CEFOGRAM 250mg Injection 1'sCEFOGRAM 1gm Injection 1's,Infection,treats chest pain,moderate
CEFOGRAM TZB Injection 1's,Infection,treats tonsilities,moderate
Cefokem XP 1gm InjectionCefokem XP 500mg InjectionCefokem XP 2Gm Injection,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefolac 100mg Oral Suspension 30mlCefolac 400mg Tablet 5'SCefolac O 200mg Tablet 10'SCefolac Drops 10mlCefolac 200mg Tablet 10'SCefolac CV 200mg Tablet 4'S,Infection,infection during surgery,moderate
Cefolac CV 100/62.5mg Syrup 30mlCefolac CV 50mg Oral Suspension 30ml,Infection,urinaryÂ tract and kidneys,moderate
Cefolac CV DT 100mg Tablet 6'SCefolac CV DT 50mg Tablet 6'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefolac DT 100mg Tablet 10'SCefolac DT 50mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefolac LB 200mg Tablet 10'SCefolac LB 100mg Tablet 10'S,Infection,infection during surgery,moderate
Cefolac O Dry Syrup 30ml,Infection,urinaryÂ tract and kidneys,moderate
Cefolac O DT 100mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefolac Oral Suspension 30ml,Infection,used to treat meningitis carriers,moderate
Cefolac XL 100mg Tablet 10'SCefolac XL 200mg Tablet 10'S,Infection,treats chest pain,moderate
Cefomycin 1000mg Injection 1'S,Infection,treats tonsilities,moderate
CEFON 500mg Injection 1's,Infection,used for skin and skin structure,moderate
Cefoprim 250mg Tablet 4'SCefoprim 1.5gm InjectionCefoprim 500mg Tablet 4'SCefoprim 750mg Injection,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
CEFOPRIT 500mg Tablet 4'sCefoprit 1.5mg Injection,Infection,infection during surgery,moderate
Cefoprox 100mg Tablet 10'SCefoprox 50mg Suspension 60mlCefoprox 200mg Tablet 10'SCefoprox 50mg Dry Syrup 30mlCefoprox 100mg Suspension 30ml,Infection,urinaryÂ tract and kidneys,moderate
Cefoprox CV 325mg Tablet 10'SCefoprox CV 100/62.5mg Dry Syrup 30ml,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefoprox DT 50mg Tablet 10'SCefoprox DT 100mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefoprox XP 500/62.5mg InjectionCefoprox XP 1gm InjectionCefoprox XP 250mg InjectionCefoprox XP 1000/125mg Injection 20ml,Infection,infection during surgery,moderate
Cefor 1gm Injection,Infection,urinaryÂ tract and kidneys,moderate
Cefotax 250mg Injection 1'SCefotax 1gm Injection 1'SCefotax 500mg Injection 1'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefotaxime (Nicholas) 1000mg Injection 1'S,Infection,used to treat meningitis carriers,moderate
Cefotim 1gm Injection 1'SCefotim 500mg Injection 1'S,Infection,treats chest pain,moderate
Cefotroy SB 1000mg Injection 1'S,Infection,treats tonsilities,moderate
Cefoxid 250mg Tablet 10'SCefoxid 125mg Tablet 10'SCefoxid 100mg Drops 10mlCefoxid 500mg Tablet 6'SCefoxid 125mg Syrup 30ml,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefoxil 250mg Tablet 10'SCefoxil 500mg Tablet 10'S,Infection,infection during surgery,moderate
Cefoxim 500mg Tablet 10'SCefoxim 250mg Tablet 10'SCefoxim Dry Syrup 30mlCefoxim 1.5gm Injection,Infection,urinaryÂ tract and kidneys,moderate
Cefozyt CV Tablet 10'SCefozyt Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
CEFPARA S 1.5gm Injection 1'sCefpara S 500/500mg Injection 1'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefpocare 100mg Tablet 10'SCefpocare 200mg Tablet 10'S,Infection,infection during surgery,moderate
Cefpocare CA 200/125mg Tablet 6'S,Infection,urinaryÂ tract and kidneys,moderate
Cefpodax 50Mg Dry Syrup 30mlCefpodax 200Mg Tablet 10's,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefpoglen 200mg Tablet 10'S,Infection,used to treat meningitis carriers,moderate
Cefpoglen DT 100mg Tablet 10'S,Infection,treats chest pain,moderate
Cefpohil CV 200/125mg Tablet 6'S,Infection,treats tonsilities,moderate
Cefpoprime 200mg Tablet 10'S,Infection,used for skin and skin structure,moderate
Cefpotas 200mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefpotas CV Tablet 10'S,Infection,infection during surgery,moderate
Cefpotas DT 100mg Tablet 10'SCefpotas DT 50mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefpraz S Injection 5ml,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefprotec 1000mg Injection 1'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefqueen 250/90mg Tablet 4'S,Infection,infection during surgery,moderate
Cefrax 100mg Tablet 10'SCefrax 100mg Dry Syrup 30mlCefrax 200mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefrax CV Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefrax DS Syrup 30ml,Infection,used to treat meningitis carriers,moderate
Cefrax O Tablet 10'S,Infection,treats chest pain,moderate
Cefredrox 200mg Tablet 6'S,Infection,treats tonsilities,moderate
Cefredrox AZ Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefrine 300mg Capsule 4'SCefrine 100mg Syrup 30mlCefrine 125mg Oral Suspension 30mlCefrine Plus 1.5gm Injection,Infection,infection during surgery,moderate
Cefrine DT 125/20mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
CEFRINE PLUS 750mg InjectionCefrine Plus 250/125mg Injection 5ml,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefrom 1gm Injection,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefrotux 250mg Tablet 4'SCefrotux 500mg Capsule 4'S,Infection,infection during surgery,moderate
Cefspan Syrup 30mlCefspan 200mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefspan DT 100mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cefstar 500/500mg Injection 20ml,Infection,used to treat meningitis carriers,moderate
Cefstar Forte 1000/500mg Injection 1'S,Infection,treats chest pain,moderate
Cefstrong 200mg Tablet 10'SCefstrong 50mg Suspension 30ml,Infection,treats tonsilities,moderate
Cefstrong CV 100mg Tablet 10'SCefstrong CV 200mg Tablet 10'S,Infection,used for skin and skin structure,moderate
Ceftal 500Mg Tablet 10's,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Ceftalin 250mg Tablet 4'SCeftalin 1000mg Injection 1'SCeftalin 1500mg Injection 1'SCeftalin 500mg Tablet 4'SCeftalin 750mg Injection 1'S,Infection,infection during surgery,moderate
Ceftalin CV 500/125mg Tablet 6'S,Infection,urinaryÂ tract and kidneys,moderate
Ceftalin O 500mg Tablet 6'SCeftalin O 250mg Tablet 6'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Ceftalup 1gm Injection 1'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Ceftas O Tablet 10'SCeftas 200mg Tablet 10'SCeftas 100mg Suspension 15mlCeftas CD 200mg Tablet 10'SCeftas CL 100mg Tablet 10'SCeftas CV 200mg Tablet 10'SCeftas 100mg Tablet 10'SCeftas 400mg Tablet 5'SCeftas 400mg Tablet 10'SCeftas CL 200mg Tablet 10'S,Infection,infection during surgery,moderate
Ceftas AL 200/60mg Tablet 6'SCeftas AL 100/30mg Tablet 6'S,Infection,urinaryÂ tract and kidneys,moderate
Ceftas CV 100mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Ceftas LB Tablet 10'S,Infection,used to treat meningitis carriers,moderate
Ceftaz 1gm Injection,Infection,treats chest pain,moderate
Ceftichek 1.5gm Injection 1'SCeftichek 250/125mg Injection 2ml,Infection,treats tonsilities,moderate
Ceftigo 200mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Ceftigo C Tablet 10'S,Infection,infection during surgery,moderate
Ceftisure 500mg Injection 10mlCeftisure 1000mg Injection 2mlCeftisure 250mg Injection 1'S,Infection,urinaryÂ tract and kidneys,moderate
Ceftizone 500/62.5mg Injection 10mlCeftizone 250/31.25mg Injection 7.5mlCeftizone 1.125gm Injection 1'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Ceftorin 250mg Tablet 6'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Ceftriaxone 250mg Injection 1'SCeftriaxone 1000mg Injection 10ml,Infection,infection during surgery,moderate
Ceftriaxone (Cipla) 1000mg Injection 1'S,Infection,urinaryÂ tract and kidneys,moderate
Ceftril S 1000/500mg Injection 1'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
CEFTRINJECT 1gm Injection 1's,Infection,used to treat meningitis carriers,moderate
Ceftum 125mg Tablet 4'SCeftum 500mg Tablet 4'SCeftum 250mg Tablet 4'S,Infection,treats chest pain,moderate
Ceftum 125mg Oral Suspension 50ml,Infection,treats tonsilities,moderate
Cefuroxime Sodium (Sun) 250mg Injection 1,Infection,used for skin and skin structure,moderate
Cefwide 1000mg Injection 1'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefxi 1gm Injection 1'SCefxi 500mg Injection 5mlCefxi 125mg Injection 1ml,Infection,infection during surgery,moderate
Cefxi O DT 100mg Tablet 10'SCefxi O 50mg Dry Syrup 30mlCefxi O 200mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cefxi O DT 50mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cefxi O New 200mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefxo 1000mg Injection 1'S,Infection,infection during surgery,moderate
Cefxo S Injection 1'S,Infection,urinaryÂ tract and kidneys,moderate
CEFYBOND 500mg Tablet 10's,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
CEFZEN Syrup 30ml,Infection,used to treat meningitis carriers,moderate
CEFZIM 500mg Tablet 10'sCEFZIM 750mg Injection 1'sCEFZIM Dry Syrup 30mlCEFZIM 250mg Tablet 10'sCEFZIM 500mg Tablet 4'sCEFZIM 1.5gm Injection 1's,Infection,treats chest pain,moderate
Cefzim O Plus 200mg Tablet 10'S,Infection,treats tonsilities,moderate
Cefzone 1000mg Injection 10mlCefzone 500mg Injection 5mlCefzone 250mg Injection 5ml,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cefzone S 500/250mg Injection 1'S,Infection,infection during surgery,moderate
CEFZY 1000mg Injection 1's,Infection,urinaryÂ tract and kidneys,moderate
Cegava 1000/1000mg Injection 1'SCegava 500/500mg Injection 1'SCegava 1.5gm Injection,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cegava TZ 1.125gm Injection,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Celex 500mg Tablet 4'SCelex 250mg Tablet 10'SCelex 250mg Tablet 4'S,Infection,infection during surgery,moderate
Celex OD 500mg Tablet 5'S,Infection,urinaryÂ tract and kidneys,moderate
Celfee 500mg Tablet 10'SCelfee 250mg Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Celovan 1000Mg Injection 1'sCelovan 500Mg Injection 1's,Infection,used to treat meningitis carriers,moderate
Celpazone S Injection 1's,Infection,treats chest pain,moderate
Celplanin 200Mg Injection 1'sCelplanin 400Mg Injection 1's,Infection,treats tonsilities,moderate
Celrim Injection,Infection,used for skin and skin structure,moderate
Celrim TZ Injection,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Celsuf 500/500mg Injection 1'S,Infection,infection during surgery,moderate
Cemax 1000/500mg Injection 1'SCemax 500/500mg Injection 10ml,Infection,urinaryÂ tract and kidneys,moderate
Cemax T 500mg Tablet 6'SCemax T 250mg Tablet 10'SCemax T 250mg Tablet 6'SCemax T 500mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
CEMBOL Tablet 6'sCEMBOL 100mg Tablet 6's,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Centaflox Eye Ointment 5gm,Infection,infection during surgery,moderate
Centaflox KT Eye Drops 5ml,Infection,urinaryÂ tract and kidneys,moderate
Ceof Tablet 10'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cepdox 500mg Tablet 4'SCepdox 500mg Tablet 10'SCepdox 125mg Suspension 30ml,Infection,used to treat meningitis carriers,moderate
Cepdox DT 250mg Tablet 10'S,Infection,treats chest pain,moderate
Cephadex 500mg Drops 10mlCephadex 125mg Dry Syrup 30mlCephadex 250mg Capsule 10'SCephadex 750mg Tablet 10'SCephadex 500mg Capsule 10'S,Infection,treats tonsilities,moderate
Cephadex DT 250mg Tablet 10'SCephadex DT 125mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cephalexin(Zyd) 250mg Tablet 10'S,Infection,infection during surgery,moderate
Cephalkem 125mg Syrup 60mlCephalkem 125mg Tablet 10'SCephalkem 500mg Capsule 10'SCephalkem 100mg Drops 10mlCephalkem 125mg Syrup 30mlCephalkem 250mg Capsule 10'S,Infection,urinaryÂ tract and kidneys,moderate
CEPHARIL 250mg Tablet 10's,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cephaxin 250mg Capsule 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cephbid 125mg Syrup 30mlCephbid 500mg Tablet 4'SCephbid 125mg Tablet 6'S,Infection,infection during surgery,moderate
Cephbid DT 250mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cepime 1000mg Injection 1'SCepime 250mg Injection 1'SCepime O DT 100mg Tablet 10'SCepime 500mg Injection 5mlCepime 2000mg Injection 1'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cepime O 50mg Dry Syrup 30mlCepime O 200mg Tablet 10'SCepime O 250mg Tablet 4'S,Infection,used to treat meningitis carriers,moderate
Cepime O CV 50/31.25mg Dry Syrup 30mlCepime O CV 625mg Tablet 10'SCepime O CV 100/62.5mg Dry Syrup 30mlCepime O CV Syrup 60mlCepime O CV 200/125mg Tablet 10'S,Infection,treats chest pain,moderate
Cepime O DT 50mg Tablet 10'S,Infection,treats tonsilities,moderate
Cepocef 100mg Tablet 10'SCepocef 200mg Tablet 10'SCepocef 100Mg Dry Syrup 30ml,Infection,used for skin and skin structure,moderate
Cepocef CV 200/125mg Tablet 6'SCepocef CV Dry Syrup 30ml,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cepocor 200mg Capsule 6'S,Infection,infection during surgery,moderate
Cepod 50mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cepodem 100mg Dry Syrup 30mlCepodem 100mg Tablet 10'SCepodem O Tablet 10'SCepodem 50mg Drops 10mlCepodem DT 100mg Tablet 10'SCepodem DT 50mg Tablet 10'SCepodem XP 100mg Dry Syrup 30mlCepodem XP 325mg Tablet 10'SCepodem 50mg Dry Syrup 30mlCepodem 200mg Tablet 10'S,Infection,transmitted infections (gonorrhoea and syphilis),moderate
CEPODEM DROPS Dry Suspension 10ml,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Cepodem XP 500/125mg Tablet 6'SCepodem XP 50mg Dry Syrup 30ml,Infection,infection during surgery,moderate
Cepodem XP DT 50mg Tablet 10'SCepodem XP DT 50/31.25mg Tablet 10'SCepodem XP DT 100mg Tablet 10'S,Infection,urinaryÂ tract and kidneys,moderate
Cepofic 1.5gm Injection 1'S,Infection,"Â used to treat a variety of infections, including bacterial infections that affect the eyes, ears, nose, throat and respiratory system (chest infections), skin infections (acne),",moderate
Cepotuf DT 100mg Tablet 6'S,Infection,used to treat meningitis carriers,moderate
Cepotus CV 200mg Tablet 10'SCepotus Dry Syrup 30mlCepotus 200mg Tablet 10'S,Infection,treats chest pain,moderate
Cepotus DT 100mg Tablet 10'S,Infection,treats tonsilities,moderate
Ceprazo S 500/500mg Tablet 10'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
Ceprolen Drops 5ml,Infection,infection during surgery,moderate
Ceprozone S 50mg Injection 2ml,Infection,urinaryÂ tract and kidneys,moderate
Ceptidar S Injection 1ml,Infection,transmitted infections (gonorrhoea and syphilis),moderate
Cepy 1000mg Injection 1'SCepy 250mg Injection 1'S,Infection,infection Â of the chest in adults with chronic bronchitis,moderate
